"","Tick_2000-10-18_To_2001-10-11","Membership_2000-10-18_To_2001-10-11","Name_2000-10-18_To_2001-10-11","Exchange_2000-10-18_To_2001-10-11","Category.Name_2000-10-18_To_2001-10-11"
"396","NFRGF",10,"Triumph Gold Corp.","PNK",""
"397","THGA",10,"The Hanover Insurance Group, Inc.","NYQ",""
"398","KANKF",10,"Kaneka Corporation","PNK",""
"399","PGDIF",10,"Peregrine Diamonds Ltd.","PNK",""
"400","RDHL",10,"RedHill Biopharma Ltd.","NCM",""
"401","APTCF",10,"Advanced Proteome Therapeutics Corporation","PNK",""
"402","MPUCF",10,"Moneta Porcupine Mines Inc.","PNK",""
"403","GFOX",10,"Grey Fox Holdings Corp.","PNK","Independent Oil & Gas"
"404","CRUOF",10,"Rockshield Capital Corp.","PNK",""
"405","FRFC",10,"First Robinson Financial Corporation","PNK","Savings & Loans"
"406","THRSF",10,"Thunderbird Resorts, Inc.","PNK",""
"407","CILJF",10,"China Life Insurance Company Limited","PNK",""
"408","SCIL",10,"Scientific Learning Corporation","PNK","Education & Training Services"
"409","ECOM",10,"ChannelAdvisor Corporation","NYQ","Application Software"
"410","GEH",10,"GE Capital Global Holdings, LLC","NYQ",""
"411","PBCRF",11,"PT Bank Central Asia Tbk","PNK",""
"412","UNSI",11,"Unified Signal, Inc.","PNK",""
"413","CTIB",11,"CTI Industries Corporation","NCM","Rubber & Plastics"
"414","SENY",11,"Sauer Energy, Inc.","PNK",""
"415","JOB",11,"Gee Group Inc.","ASE","Staffing & Outsourcing Services"
"416","MNDJF",11,"Mandalay Resources Corporation","PNK",""
"417","STMNF",11,"Sumitomo Metal Mining Co., Ltd.","PNK",""
"418","ENZY",11,"Enzymotec Ltd.","NMS","Biotechnology"
"419","MACK",11,"Merrimack Pharmaceuticals, Inc.","NGM","Biotechnology"
"420","FPMI",11,"FluoroPharma Medical, Inc.","PNK","Biotechnology"
"421","HVRRF",11,"Hannover Rück SE","PNK",""
"422","HOFT",11,"Hooker Furniture Corporation","NMS","Home Furnishings & Fixtures"
"423","BYDDF",11,"BYD Company Limited","PNK",""
"424","LNGYF",11,"Esrey Energy Ltd.","PNK",""
"425","ITNF",11,"Internet Infinity Inc.","PNK","Internet Software & Services"
"426","ORLY",11,"O'Reilly Automotive, Inc.","NMS","Auto Parts Stores"
"427","ESCC",11,"Evans & Sutherland Computer Corporation","PNK",""
"428","WTT",11,"Wireless Telecom Group, Inc.","ASE","Communication Equipment"
"429","GOLDF",11,"Pele Mountain Resources Inc.","PNK",""
"430","WDKA",11,"Panache Beverage Inc.","PNK",""
"431","ASKE",11,"Alaska Pacific Energy Corp.","PNK","Industrial Metals & Minerals"
"432","SQCF",11,"Susquehanna Community Financial, Inc.","PNK",""
"433","RH",11,"RH","NYQ","Home Furnishing Stores"
"434","TSEM",11,"Tower Semiconductor Ltd.","NMS","Semiconductor - Integrated Circuits"
"435","LBRG",11,"Ladybug Resource Group, Inc.","PNK","Internet Software & Services"
"436","TRUX",11,"Truxton Corporation","PNK",""
"437","PREGF",11,"PRD Energy Inc.","PNK",""
"438","STJO",11,"St. Joseph, Inc.","PNK","Staffing & Outsourcing Services"
"439","RMNXF",11,"Rainy Mountain Royalty Corp","PNK",""
"440","DLTA",11,"Delta Oil & Gas Inc.","PNK",""
"441","SYEV",11,"Seychelle Environmental Technologies, Inc.","PNK","Pollution & Treatment Controls"
"442","CTXV",11,"CTX Virtual Technologies, Inc.","PNK",""
"443","MEOBF",11,"Mesoblast Limited","PNK",""
"444","SAPMY",11,"Saipem S.p.A.","PNK",""
"445","VSI",11,"Vitamin Shoppe, Inc.","NYQ","Specialty Retail, Other"
"446","ZBK",11,"Zions Bancorporation","NYQ",""
"447","FRMC",11,"Formcap Corp.","PNK",""
"448","ISDJF",11,"iShares Canadian Select Dividend Index ETF","PNK",""
"449","IMUC",11,"ImmunoCellular Therapeutics, Ltd.","ASE","Biotechnology"
"450","DIDAF",11,"Distribuidora Internacional de Alimentación, S.A.","PNK",""
"451","ELKMF",11,"Gold Road Resources Limited","PNK",""
"452","THNRF",11,"Technicolor SA","PNK",""
"453","GNRD",11,"General Datacomm Industries Inc.","PNK",""
"454","SESMF",11,"SÜSS MicroTec SE","PNK",""
"455","NCXS",11,"National Bank of Coxsackie","PNK",""
"456","NOBGF",11,"Noble Group Limited","PNK",""
"457","FRAF",11,"Franklin Financial Services Corporation","PNK","Regional - Northeast Banks"
"458","ANFC",11,"Black Ridge Oil & Gas, Inc","PNK",""
"459","GVFF",11,"Greenville Federal Financial Corporation","OBB","Savings & Loans"
"460","NPN",11,"Nuveen Pennsylvania Municipal Value Fund","ASE",""
"461","ANSLY",11,"Ansell Limited","PNK",""
"462","CGYV",11,"China Energy Recovery, Inc.","PNK",""
"463","TTSLF",11,"Tatts Group Limited","PNK",""
"464","PORTFO",11,"369","369","369"
"465","SINO",12,"Sino-Global Shipping America, Ltd.","NCM","Air Delivery & Freight Services"
"466","FLC",12,"Flaherty & Crumrine Total Return Fund Inc.","NYQ",""
"467","MRDAF",12,"Meridian Co., Ltd.","PNK",""
"468","BFS",12,"Saul Centers Inc.","NYQ","REIT - Retail"
"469","GDV-PA",12,"The Gabelli Dividend & Income Trust","NYQ",""
"470","JCI",12,"Johnson Controls International plc","NYQ","Auto Parts"
"471","PSA",12,"Public Storage","NYQ","REIT - Industrial"
"472","BBN",12,"BlackRock Taxable Municipal Bond Trust","NYQ",""
"473","CPB",12,"Campbell Soup Company","NYQ","Processed & Packaged Goods"
"474","TDI",12,"Telephone and Data Systems, Inc.","NYQ",""
"475","SNH",12,"Senior Housing Properties Trust","NMS","REIT - Healthcare Facilities"
"476","ASR",12,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.","NYQ","Air Services, Other"
"477","MXE",12,"Mexico Equity & Income Fund Inc.","NYQ",""
"478","O",12,"Realty Income Corporation","NYQ","REIT - Retail"
"479","CESX",13,"CES Synergies, Inc.","PNK","Waste Management"
"480","CWMCF",13,"Consolidated Woodjam Copper Corp.","PNK",""
"481","RVP",13,"Retractable Technologies, Inc.","ASE","Medical Instruments & Supplies"
"482","EGRN",13,"Evergreen-Agra, Inc.","PNK",""
"483","SWSKF",13,"Showa Shell Sekiyu K.K.","PNK",""
"484","DSRLF",13,"DiaSorin S.p.A.","PNK",""
"485","GPHOF",14,"Graphite One Resources Inc.","PNK",""
"486","PBNK",14,"Pinnacle Bank","PNK","Regional - Pacific Banks"
"487","CANWF",15,"Orca Gold Inc.","PNK",""
"488","MATX",15,"Matson, Inc.","NYQ","Shipping"
"489","FVE",15,"Five Star Senior Living Inc.","NCM","Long-Term Care Facilities"
"490","CUB",15,"Cubic Corporation","NYQ","Scientific & Technical Instruments"
"491","CIE",15,"Cobalt International Energy, Inc.","NYQ","Independent Oil & Gas"
"492","MDIBY",15,"Mediobanca Banca di Credito Finanziario S.p.A.","PNK",""
"493","CYH",15,"Community Health Systems, Inc.","NYQ","Hospitals"
"494","TFX",15,"Teleflex Incorporated","NYQ","Medical Instruments & Supplies"
"495","GGWY",15,"Genie Gateway","PNK",""
"496","WDFN",15,"Woodlands Financial Services Company","PNK",""
"497","UNCFF",16,"UniCredit S.p.A.","PNK",""
"498","VRTU",16,"Virtusa Corporation","NMS","Information Technology Services"
"499","MAKSF",16,"Marks and Spencer Group plc","PNK",""
"500","STTX",16,"Stratex Oil & Gas Holdings, Inc.","PNK",""
