"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"C066.F",0.007,0.006,0.019,0.467,2,-0.01,-0.004,-0.002,0,0,0.004,0.005,0.007,0.011,"C066.F","ComStage - STOXX Europe 600 Financial Services NR UCITS ETF"
"C065.F",0.009,0.022,0.023,0.117,2,-0.011,-0.005,-0.002,-0.001,0,0.003,0.005,0.007,0.013,"C065.F","ComStage - STOXX Europe 600 Construction & Materials NR UCITS ETF"
"EXH4.F",0.016,0.008,0.041,0.391,2,-0.01,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.012,"EXH4.F","iShares (DE) I - iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE)"
"C069.F",0.016,0.007,0.04,0.426,2,-0.01,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.011,"C069.F","ComStage - STOXX Europe 600 Industrial Goods & Services NR UCITS ETF"
"EXSA.F",0.016,0.013,0.044,0.233,2,-0.009,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"EXSA.F","iShares STOXX Europe 600 UCITS ETF (DE)"
"EXSA.DE",0.027,0.013,0.066,0.243,2,-0.008,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"EXSA.DE","iShares STOXX Europe 600 UCITS ETF (DE)"
"^BFX",0.005,0.021,0.015,0.141,2,-0.009,-0.004,-0.002,0,0,0.002,0.004,0.005,0.01,"^BFX","BEL 20"
"^AEX",0.01,0.007,0.029,0.42,2,-0.009,-0.003,-0.002,0,0.001,0.002,0.004,0.007,0.009,"^AEX","AEX-INDEX"
"^IBEX",0.002,0.024,0.008,0.11,2,-0.01,-0.005,-0.003,-0.001,0,0.003,0.004,0.007,0.012,"^IBEX","IBEX 35"
"^GSPTSE",0.005,0.004,0.011,0.49,3,-0.005,-0.002,-0.001,0,0.001,0.002,0.003,0.004,0.007,"^GSPTSE","^GSPTSE"
"XIU.TO",0.004,0.003,0.01,0.556,3,-0.006,-0.002,-0.001,0,0,0.002,0.003,0.005,0.008,"XIU.TO","iShares S&P/TSX 60 Index ETF"
"XIC.TO",0.004,0.003,0.011,0.541,3,-0.005,-0.002,-0.001,0,0.001,0.002,0.003,0.005,0.007,"XIC.TO","iShares Core S&P/TSX Capped Composite Index ETF"
