"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"VGH.TO",0.01,0,0.031,0.892,4,-0.007,-0.003,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"VGH.TO","Vanguard U.S. Dividend Appreciation Index ETF (CAD-hedged)"
"CYH.TO",0.002,0.003,0.01,0.487,4,-0.006,-0.003,-0.002,0,0,0.002,0.004,0.005,0.009,"CYH.TO","iShares Global Monthly Dividend Index ETF (CAD-Hedged)"
"ZDJ.TO",0.018,0,0.047,0.976,4,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.013,"ZDJ.TO","BMO Dow Jones Industrial Average Hedged to CAD Index ETF"
"ZLH.TO",0.002,0.003,0.007,0.585,4,-0.007,-0.002,0,0,0,0.002,0.004,0.006,0.01,"ZLH.TO","BMO Low Volatility US Equity Hedged to CAD ETF"
"ZWA.TO",0.018,0.001,0.051,0.785,4,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.013,"ZWA.TO","BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF"
"ULV.TO",0.004,0.006,0.014,0.45,4,-0.006,-0.001,0,0,0,0.001,0.003,0.005,0.009,"ULV.TO","PowerShares S&P 500 Low Volatility (CAD Hedged) Index ETF"
"ZUE.TO",0.026,0.001,0.066,0.842,4,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.007,0.011,"ZUE.TO","BMO S&P 500 Hedged to CAD Index ETF"
"ZUD.TO",0.005,0.002,0.017,0.643,4,-0.007,-0.002,-0.001,0,0,0.002,0.005,0.007,0.009,"ZUD.TO","BMO US Dividend Hedged to CAD ETF"
"ZUB.TO",0.002,0.001,0.007,0.94,4,-0.012,-0.006,-0.003,0,0.001,0.005,0.007,0.012,0.018,"ZUB.TO","BMO Equal Weight US Banks Hedged to CAD Index ETF"
"ZQQ.TO",0.01,0,0.023,1.045,4,-0.011,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.017,"ZQQ.TO","BMO NASDAQ 100 Equity Hedged to CAD Index ETF"
"VUS.TO",0.025,0.001,0.065,0.835,4,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.007,0.012,"VUS.TO","Vanguard U.S. Total Market Index ETF (CAD-Hedged)"
"VSP.TO",0.032,0.001,0.083,0.85,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"VSP.TO","Vanguard S&P 500 Index ETF (CAD-hedged)"
"CUD.TO",0.007,0.002,0.023,0.66,4,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"CUD.TO","iShares US Dividend Growers Index ETF (CAD-Hedged)"
"XSU.TO",0.004,0.002,0.014,0.725,4,-0.009,-0.004,-0.002,0.001,0.001,0.003,0.006,0.008,0.013,"XSU.TO","iShares U.S. Small Cap Index ETF (CAD-Hedged)"
"XHD.TO",0.004,0.008,0.012,0.408,4,-0.007,-0.003,-0.001,0,0,0.003,0.004,0.007,0.011,"XHD.TO","iShares U.S. High Dividend Equity Index ETF (CAD-Hedged)"
"XHC.TO",0.003,0.005,0.012,0.511,4,-0.009,-0.003,-0.001,0,0.001,0.004,0.005,0.008,0.012,"XHC.TO","iShares Global Healthcare Index ETF (CAD-Hedged)"
"XSP.TO",0.031,0.001,0.082,0.837,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"XSP.TO","iShares Core S&P 500 Index ETF (CAD-Hedged)"
"ZUH.TO",0.006,0.001,0.018,0.763,4,-0.01,-0.003,-0.001,0,0.001,0.004,0.006,0.009,0.014,"ZUH.TO","BMO Equal Weight US Health Care Hedged to CAD Index ETF"
"XMH.TO",0.005,0.001,0.015,0.797,4,-0.007,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.012,"XMH.TO","iShares S&P U.S. Mid-Cap Index ETF (CAD-Hedged)"
"XQQ.TO",0.009,0,0.022,1.061,4,-0.01,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.017,"XQQ.TO","iShares NASDAQ 100 Index ETF (CAD-Hedged)"
"XUH.TO",0.008,0.001,0.024,0.827,4,-0.008,-0.003,-0.001,0,0.001,0.004,0.005,0.007,0.011,"XUH.TO","iShares Core S&P U.S. Total Market Index ETF (CAD-Hedged)"
"PDF.TO",0.003,0.029,0.011,0.15,4,-0.006,-0.003,-0.002,0,0,0.002,0.003,0.005,0.008,"PDF.TO","Purpose Fund Corp. - Purpose Core Dividend Fund"
"^SSMI",0.003,0.014,0.009,0.304,5,-0.009,-0.004,-0.002,-0.001,0,0.002,0.004,0.006,0.013,"^SSMI","^SSMI"
"^STOXX",0.004,0.01,0.011,0.316,5,-0.007,-0.003,-0.002,-0.001,0,0.002,0.003,0.005,0.009,"^STOXX","^STOXX"
"^STOXX50E",0.004,0.019,0.009,0.222,5,-0.008,-0.004,-0.002,-0.001,0,0.002,0.004,0.006,0.011,"^STOXX50E","^STOXX50E"
"FUD-A.TO",0.006,0.005,0.01,0.533,6,0,0,0,0,0,0,0,0,0,"FUD-A.TO","First Trust AlphaDEX U.S. Dividend ETF (CAD-Hedged)"
"EUR-A.TO",0.006,0.006,0.01,0.5,6,0,0,0,0,0,0,0,0,0,"EUR-A.TO","First Trust AlphaDEX European Dividend Index ETF (CAD-Hedged)"
"FSL-A.TO",0.007,0.015,0.011,0.259,6,0,0,0,0,0,0,0,0,0,"FSL-A.TO","First Trust Senior Loan ETF (CAD-Hedged)"
"AUTP.MI",0.003,0.005,0.009,0.737,7,-0.014,-0.006,-0.003,-0.001,0,0.003,0.006,0.011,0.017,"AUTP.MI","LYXOR UCITS ETF STOXX EU 600 AU"
"CHM.MI",0.002,0.002,0.007,0.679,7,-0.01,-0.002,0,0,0,0.002,0.005,0.008,0.015,"CHM.MI","LYXOR UCITS ETF STOXX EURO 600"
"EXSA.MI",0.004,0.006,0.009,0.44,7,-0.008,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"EXSA.MI","ISHARES STOXX EUROPE 600 UCITS"
"MEUD.MI",0.003,0.005,0.009,0.487,7,-0.008,-0.003,-0.001,0,0,0.002,0.004,0.007,0.011,"MEUD.MI","LYXOR STOXX EUROPE 600 (DR) UCI"
"XIU.TO",0.006,0.003,0.015,0.572,8,-0.006,-0.002,-0.001,0,0,0.002,0.003,0.005,0.008,"XIU.TO","iShares S&P/TSX 60 Index ETF"
"XIC.TO",0.006,0.003,0.015,0.555,8,-0.005,-0.002,-0.001,0,0.001,0.002,0.003,0.005,0.007,"XIC.TO","iShares Core S&P/TSX Capped Composite Index ETF"
"^GSPTSE",0.007,0.004,0.016,0.497,8,-0.005,-0.002,-0.001,0,0.001,0.002,0.003,0.004,0.007,"^GSPTSE","^GSPTSE"
"XEN.TO",0.004,0.001,0.013,0.684,8,-0.005,-0.002,-0.001,0,0,0.002,0.003,0.005,0.009,"XEN.TO","iShares Jantzi Social Index ETF"
