"","Bank rate","BAR 1-month","BAR 2-month","BAR 3-month","GCBBY 10 year","GCBBY 2 year","GCBBY 3 year","GCBBY 5 year","GCBBY 7 year","GCBBY long term","GCMB 1 to 3 years","GCMB 3 to 5 years","GCMB 5 to 10 years","GCMB over 10 years","Operating band, high","Operating band, low","Overnight money market financing","PCPR 1-month","PCPR 2-month","PCPR 3-month","RRBBYLT","Target rate","TrB1-month","TrB1-year","TrB2-month","TrB3-month","TrB6-month"
"2018-08-19",0.00909564806323636,0.0293055543975276,0.0317776917559655,0.0361626610355354,0.0326257133324958,0.0630963283039769,0.0456574118568192,0.0665687205208143,0.036548355488127,0.0159340240277787,0.0558593872326082,0.0637236419029573,0.0320942223746941,0.0263144467424147,0.0091811191220032,0.0135204280938288,0.0097999684553674,0.0543804333894051,0.0621855265051056,0.0488056846191225,0.000540544199677735,0.0164325425394839,0.0455834647908614,0.0740612677423184,0.0388085179131423,0.031858853326154,0.0500778422685783
"2018-08-20",0.0104643422835919,0.0308673467387286,0.0342927885401757,0.0431346920615658,0.0341684956488766,0.056734912927366,0.0454104485297404,0.0689612877143643,0.0374929449144432,0.0162288685650776,0.052810304395254,0.0682195433738577,0.0364178978360916,0.0217083221778666,0.00965914784655441,0.00961424923960225,0.0107504208680104,0.0544823618765302,0.054607474824868,0.0519351302879431,0.000746321087139327,0.010237097064671,0.0480666829063991,0.0787104252084933,0.0349486610537594,0.0319515890301463,0.0473782429988832
"2018-08-21",0.0125894194377387,0.0317363669379891,0.0303948219840382,0.0362518962189059,0.0360232788779592,0.0630804569110285,0.0484148042677084,0.0662040617873127,0.0388764816299278,0.0177576810943834,0.0594443687818645,0.0666880137641332,0.0382608914686518,0.0197158297467703,0.0115152638503116,0.0114078517493475,0.0109757882798511,0.0469877324605935,0.05733180151635,0.0504259085630771,0.000724170307276159,0.0150268336791256,0.0458826376934554,0.0734681507007935,0.0346595027593471,0.0307001649084508,0.045455820623609
"2018-08-22",0.00983252643927561,0.0269316877134679,0.0299131415279133,0.0322250285454174,0.0396530498981469,0.0623758763346661,0.0509205114476894,0.0647095470848584,0.0436830768264052,0.0201323910706396,0.0556125915810268,0.070277891022666,0.0415255726288237,0.0231443313833512,0.010543051266988,0.0104551091797251,0.0104079113731352,0.0496184678845401,0.0533455206313955,0.0529926116243723,0.00118039751901336,0.0135242707315169,0.0358470676734494,0.0833374724024176,0.032912360404769,0.0292921968330822,0.0456063389712479
"2018-08-23",0.0113739570126088,0.0287750634972869,0.0296708757812274,0.040651937925827,0.0417521533515912,0.0596471588020648,0.0557342998581484,0.0615429786165551,0.0399014677981053,0.020215525639992,0.0574232407270216,0.0665269905690252,0.0404402832573271,0.0213419480496619,0.0112606474772984,0.01055191004003,0.0142385312760842,0.0511206979966805,0.0546729155660588,0.0552238143887127,0.00109875475774185,0.0109427517034114,0.0313771909676149,0.0728184108766803,0.030833545716711,0.0308509653617523,0.0500119829847809
"2018-08-24",0.0121644955661494,0.0247002299388093,0.0262723389998193,0.0338843846925887,0.0438946170115607,0.0629121390419889,0.0538565977821552,0.0595747531747847,0.0447734673049489,0.0237405802368495,0.0611702145204248,0.0610491137017093,0.0406701113702686,0.0233592653615422,0.0123826823391104,0.0159407154634768,0.0134177235641501,0.0495961555717932,0.0469379726457122,0.047327832834357,0.00158366601724659,0.021423719987707,0.0274738239332436,0.0785871753873488,0.0322369030647432,0.0259819774822111,0.0550873430053004
"2018-08-25",0.0120688504768842,0.0212833023300803,0.023752120884481,0.0345535706433341,0.041193779509738,0.0683735352770286,0.0542949615516651,0.0558542721474654,0.0448273726966305,0.020791495630118,0.0694352237024587,0.0576220234780968,0.0446853498407454,0.0233012842058613,0.0173956621354956,0.0171348968005444,0.0132645380363203,0.0474887376763311,0.0492019441295057,0.0437906920254089,0.000661633452444357,0.0142972454217658,0.024580621550056,0.0846328844451209,0.0350748545879256,0.0256036710234037,0.05483547634109
"2018-08-26",0.0109402985640553,0.0188498606951592,0.02295719516982,0.0348456267665047,0.046054936529392,0.0740762235840035,0.0621442553906938,0.0539691215515207,0.0434748700051523,0.0238489279797333,0.0749023827349533,0.0570186946012433,0.0448394145512024,0.0264698915243391,0.0139016188043187,0.0106041554066189,0.0131227290942647,0.0488716604525065,0.044490244850558,0.0422211357641473,0.000928310230914121,0.0125376534463746,0.0219070278780982,0.0756675439580396,0.0346354179125717,0.026911686892937,0.0598091156608779
"2018-08-27",0.0117098808370306,0.0174601667774808,0.024385772122468,0.0374106367600442,0.0422456021714555,0.0816963727571073,0.0550528189728415,0.0492611618238649,0.0389001941976917,0.0214314323170578,0.0783897082121869,0.052825390779413,0.0386653324462851,0.0259452867214967,0.0121591930102751,0.0137171645331675,0.0113989468130022,0.0482265285894383,0.0576906277511964,0.0465697984547548,0.00128727912987433,0.0105674409269665,0.0203829606175008,0.085287934862584,0.030240588811118,0.0253826220406116,0.0617091575630864
"2018-08-28",0.00905339068691691,0.0123929508630745,0.0285594867472264,0.0385943370657943,0.0422274473876536,0.086105130012798,0.0660649867757199,0.0438377810723469,0.0396882381090469,0.0204785147211893,0.085286173394381,0.0427428877284312,0.0397328092950861,0.025345350198436,0.00848414384055135,0.00787506429998615,0.0088135690044095,0.0536782770585121,0.0427402220063913,0.049592537387698,0.000771139941457013,0.00768628865987854,0.0199285028506393,0.082966904576524,0.0355508418955055,0.026864485092479,0.0749385393278674
