"","^FTSE","AHT.L","CCL.L","VOD.L","CCH.L","SSE.L","PPB.L","NMC.L","TUI.L","RR.L","RTO.L","EXPN.L","ANTO.L","SN.L","PRU.L","NG.L","DLG.L","CNA.L","CPG.L","RMV.L","SMT.L","SHP.L","WG.L","RB.L","SDR.L","SMIN.L","STJ.L","EZJ.L","GVC.L","BATS.L","LSE.L"
"2018-03-07",0.0739227046152802,0.0330930232513695,0.0288455443334578,0.0295331540663799,0.0268553986968823,0.0323170720823198,0.0256528286215083,0.0211340001257627,0.0208805678181862,0.0318093617974554,0.0261537291701458,0.0493823119238514,0.0156648052782493,0.0366589790207766,0.0586954791186676,0.0391918503641933,0.0245937721502122,0.0202980766295552,0.0216096122334035,0.0266445810466983,0.0163480335631729,0.0189154055501413,0.0269695120125998,0.0208147810586283,0.0420107682918272,0.0563757608123529,0.0418559967983569,0.031301988979938,0.0222425583905309,0.0356889973942896,0.0445393448038067
"2018-03-08",0.0773309274282685,0.03415098696614,0.0296432811361265,0.0362185503239979,0.027431983726138,0.029059052027713,0.0235477307785055,0.0223873782126778,0.0193730259918608,0.0281470643838932,0.0258555944079815,0.054002728163712,0.0154448221112964,0.0367012123199851,0.0590154318308265,0.0379145233496649,0.0241004537584498,0.0208614875902765,0.021829555801535,0.0269405578750852,0.0165276732613821,0.0193036943303773,0.0232828834104457,0.0216109986469603,0.041977391640896,0.0552776925129152,0.0396166380252975,0.0306674018641131,0.0221057892197334,0.0359281678528804,0.043745321050865
"2018-03-09",0.0809352594250825,0.0367105190220315,0.0284198056796799,0.0352814561450524,0.0265985554546862,0.0299375664490958,0.022090973350356,0.0231815583461818,0.0196448425737896,0.0269027221029659,0.0256569710665997,0.0515958704709375,0.0181027323955618,0.0339608585857411,0.0615655967186047,0.0350175044156577,0.0220520608868017,0.019556030463322,0.0226837798720511,0.026790052131929,0.0153166642433437,0.0183617031542717,0.0249717180865971,0.0226122468701735,0.0442235689463884,0.0593667131102377,0.0397566841880687,0.0313575379529676,0.0180790024247946,0.0374991171927264,0.0417703282743029
"2018-03-12",0.0745027167488194,0.0331635175264517,0.0289024762109854,0.0355569230353733,0.0286420671008998,0.0275600697033872,0.0217196228643511,0.0219684585713872,0.0191702417464518,0.0264051074815814,0.0298372891112981,0.0547687340388951,0.0177665105004825,0.0365055713511549,0.0646960414797854,0.0346552607689683,0.022549244103892,0.0178708488717256,0.0233593523709998,0.0277744796991574,0.0165254092437611,0.0178223889192523,0.0255321937379996,0.0197527978820222,0.0413559192165991,0.058632898104997,0.0417978551828451,0.0299521351255901,0.0190822488968918,0.0405217158911963,0.0416499045127981
"2018-03-13",0.0777050623086155,0.0325094269014555,0.0284981986556282,0.0361117739445856,0.0333172059191821,0.0277361467227172,0.0190912634775131,0.0219803792131427,0.0196348250043622,0.023805407601929,0.0282213293960184,0.0528622939523926,0.0156822062297163,0.0368254949948784,0.0681328324661326,0.0327196834818422,0.0217980750166279,0.0182573277731665,0.0227130190982585,0.0271703745630423,0.0148917281951582,0.0174960698498992,0.0262097368823151,0.0191167946384186,0.0428917198618214,0.0583107078706073,0.0413273717396625,0.03056109692718,0.0186854615241203,0.0406577779807478,0.0450792078088628
"2018-03-14",0.0816860296582581,0.0346571344072518,0.0284492144349755,0.0388119445430363,0.0336687449723104,0.0261832280305397,0.0270730795654187,0.0261962434930489,0.0203445194628237,0.0253868976466796,0.0288154248156447,0.0521441821254285,0.0173074129774817,0.0357281133143055,0.0577028850275821,0.0335667023074621,0.020863822612957,0.0202486062530175,0.023024650066446,0.0259050578511559,0.0144322590580201,0.0178854628344508,0.0270097100445158,0.0205597328413928,0.0418327260472369,0.0558634610844384,0.0373188109462432,0.0263337355637413,0.0214179661008009,0.0394357289097158,0.0401465130036203
"2018-03-15",0.079893971303722,0.0318999717419688,0.025678563112466,0.0390848692555249,0.0382739514888926,0.0271495609327,0.0251687978155252,0.0279126749588639,0.0199316064941196,0.0265092302916162,0.0259407462271186,0.0518977530965938,0.0189065741620234,0.0380242578514055,0.0608553972755818,0.0335327230655733,0.0203065103224672,0.0205206215519429,0.0229260963161847,0.0266555581709108,0.0145285495949196,0.0171651323680498,0.0261595213208136,0.021125644323566,0.046094582701058,0.0550709793514754,0.0372638746576923,0.0244858758580752,0.0200851832023659,0.0388921568977407,0.0380590642890423
"2018-03-16",0.0727874816009026,0.0366868952878215,0.0238046851035381,0.0381858947556662,0.0376863479612329,0.0301871257140508,0.0238675324267528,0.0277507777402596,0.0208594050739404,0.0254801963001556,0.0275207086129105,0.0535043444743622,0.0178353887178674,0.037976662938662,0.0565017179567948,0.0335801086594448,0.0227586405857754,0.0227441126918869,0.0226376120730041,0.0258425900367672,0.0144325411720161,0.0180944091203286,0.0271672727728802,0.0217271985890714,0.0459372957271282,0.0517062466581807,0.0384288575483618,0.0243404968689131,0.0198705666275292,0.0388981999075934,0.0411986862962014
"2018-03-19",0.0733714139415458,0.0364573584790807,0.0221575660900577,0.0441431276059125,0.0376697243789974,0.0323283763198967,0.0236323662083026,0.030497778728522,0.0203132028313326,0.0266523769282982,0.0268952746221834,0.046668538909815,0.0176775970986238,0.0407001595491879,0.0571305617539954,0.0362596001806614,0.0221609612588263,0.0226128565104617,0.02197911210892,0.0225746042152637,0.013581421664415,0.0173016192800893,0.0255388312310429,0.0186846534638829,0.0464387477155423,0.0542034754983114,0.0378285772683718,0.0235879466857443,0.0186147622026647,0.0414965772845117,0.0408408299855387
"2018-03-20",0.0754442284322702,0.0351566789164137,0.021776415461466,0.0361327133299359,0.0335879009143129,0.0308313740713515,0.024775716226988,0.0279023229001776,0.0205202109533211,0.0262404044395189,0.0260626794554573,0.0464939715173715,0.0182421353541946,0.0385119559687951,0.0662185513702738,0.0371314408171857,0.0280559542932726,0.021970427057072,0.0222154760666879,0.0246339568877961,0.013968447509754,0.0157699052846555,0.0245896455399704,0.0173350606381165,0.0436622364473967,0.0542612424212025,0.0418991326716459,0.0227637249088124,0.0195212543412719,0.0390830417265194,0.0452417940767928
