"","EWZ","^BVSP","BBDC4.SA","RADL3.SA","ITSA4.SA","PETR3.SA","LAME4.SA","BRML3.SA","LREN3.SA","SBSP3.SA","EQTL3.SA","PETR4.SA","TIMP3.SA","BBDC3.SA","MULT3.SA","BBSE3.SA","PCAR4.SA","VIVT4.SA","UGPA3.SA","USIM5.SA","BRKM5.SA","BBAS3.SA","ENBR3.SA","CCRO3.SA","JBSS3.SA","ECOR3.SA","CMIG4.SA","OIBR4.SA"
"2018-06-22",0.0169233793688307,0.0603559720420624,0.0779839875669019,0.0224887362810653,0.0773683722551877,0.0253824885142305,0.0389937132218949,0.0411866339500548,0.0240445821348681,0.0190054283884497,0.0451300584274196,0.0288286389988873,0.0245740276058303,0.064764380875646,0.0703636584611345,0.0263191765388705,0.0384464777405578,0.0203880859046143,0.0200631224014196,0.0261125536512741,0.0186756067220762,0.0413651755534693,0.0224081632850861,0.0309268975168524,0.0136423350218806,0.0479990405599878,0.0359876592080886,0.0202716478033591
"2018-06-25",0.0157664073889805,0.0622226153415049,0.0771909256637633,0.0190700554077225,0.077653554823507,0.026170725154613,0.0391816988895833,0.0438930029362068,0.0247697226774918,0.0210136695865284,0.0462510795523084,0.0315865107940706,0.0275473780952731,0.0636832996950663,0.0738330577166346,0.0251511652064851,0.0291673562879694,0.0200713168057631,0.0211655725785373,0.0255268077632159,0.0179826564129689,0.0431162007446781,0.0212248883085159,0.0279066687370192,0.0133484486677061,0.0487870538936926,0.037360753970944,0.0193574068992501
"2018-06-26",0.0155963715864811,0.0624930481435842,0.0769672986010772,0.0184286645086803,0.0787749358319273,0.0262583296643113,0.0419427694478594,0.0415533378381347,0.025718142173733,0.0236932466980427,0.0389273962948636,0.0309997715470936,0.026855868988252,0.0639547660980555,0.0719391004952397,0.0237434226795592,0.0303605451103408,0.0208346591427347,0.0197877924979131,0.0269326059399955,0.0173863395429198,0.043968942466555,0.0213009257622269,0.0254894217262301,0.0133293301519534,0.0543284525796794,0.0380053342064279,0.0204291802761288
"2018-06-27",0.0149620202460927,0.0600689204277579,0.0883746486046538,0.0188608803188114,0.0828649695775709,0.0252834434229427,0.0398195855348115,0.0484152555029024,0.0242718940795601,0.0234901585468238,0.0393625122253648,0.0301411497883486,0.0250160277133388,0.0648255627137,0.0734398554034982,0.0228998962429624,0.0245639287406014,0.0201897361786781,0.0194817500668497,0.0259863752920618,0.014907717377734,0.0438367590865177,0.0194920769590083,0.0273841327467151,0.0126825461189615,0.0538593282908492,0.0368835819034507,0.0186352868894324
"2018-06-28",0.0152548484877621,0.0661364552843329,0.0834664098272267,0.018191816738804,0.0810812037726407,0.0266276380311402,0.0409519089299012,0.0464395552423918,0.0242414669294244,0.0227179184552936,0.0382310436365109,0.0323912821448021,0.0253972261278527,0.0692537644146602,0.0733687408868966,0.0225453013961151,0.0254706215132616,0.0189521500268718,0.0192100337434976,0.0255111104047615,0.016599672876331,0.0421616917462823,0.0183379300521489,0.0298313521490979,0.0125295548795702,0.0488353181290445,0.0363747208165369,0.0198892633568409
"2018-06-29",0.0147096867054267,0.0640202080170811,0.0863865705186558,0.0178861340746754,0.0791673527756245,0.0256744410557859,0.0425247772602824,0.0451726188815123,0.0243081919172371,0.0243526240573719,0.0394453118819281,0.0305213025607069,0.027126578693225,0.0688547213214927,0.0704365020975122,0.0229912408071603,0.0253091644977224,0.0194437314112712,0.0193299482856868,0.0243253049107797,0.0163313339874983,0.0460469017000217,0.0183480404954624,0.0297389700032336,0.0127581247796731,0.048304080057336,0.0369265605527099,0.0195595766929264
"2018-07-02",0.0149146777900015,0.0634311328234378,0.0872653631765059,0.0179753667748431,0.074853160832592,0.0261182043780686,0.0382791773294085,0.0575501804423785,0.0254976156059207,0.0235566854042776,0.03103525843405,0.030826258104976,0.0280702450761178,0.0700033104589391,0.0707296905656587,0.023061158900359,0.0240837811081505,0.0198873251297695,0.0194771294652718,0.027806042695053,0.0152356072248602,0.0425994950465729,0.0194321777671834,0.0283155017892775,0.0131617437927756,0.0490232617289187,0.0368195156587358,0.0209909324958962
"2018-07-03",0.0144362708986969,0.06079729161999,0.0935180500470649,0.0192985410015107,0.0732817530377754,0.0256639352427222,0.0407638044887854,0.0572080399021008,0.026689306431848,0.0231400897115861,0.0307072706112676,0.0289780558941659,0.0256985983447154,0.0717656858151242,0.0685647608847348,0.0250815215555376,0.0252642762372293,0.0189801221878811,0.0197767328285357,0.0247678689929976,0.0152485378210613,0.044542872136922,0.0197660421814918,0.0293260002145846,0.0133607528963322,0.0446101374706795,0.038044749512655,0.0207189320320043
"2018-07-05",0.0144592435052762,0.0599017101014685,0.0911265861209133,0.0169426626843916,0.0770139729008196,0.0257995943598952,0.0388078292025113,0.0565501155906868,0.0286708545953376,0.02160796162805,0.0387844959201292,0.0278473537498488,0.0245316799488237,0.074015044124075,0.0703100487834992,0.0232614278650318,0.0238881126263689,0.0212091789163059,0.0215166518854812,0.025883857737601,0.0153667680832732,0.0470676145203304,0.0187199350461821,0.0315609376623462,0.012574129986453,0.0367118080875881,0.03691673172097,0.0189536926463425
"2018-07-06",0.0144349451506497,0.062810469550503,0.0911121841035003,0.0171941719655769,0.0776828188478735,0.025251433183396,0.0371949952133534,0.0514318610618393,0.0288653247078884,0.022130859646946,0.0295659031421757,0.0289494137273588,0.0252463281334718,0.0819818464797976,0.0689873750002807,0.0266265980039694,0.0231679353972711,0.0227399837656381,0.0221777524307274,0.0234392414589198,0.0145309326533008,0.0489430415846031,0.0185314681501382,0.0326660778994928,0.0124671504493146,0.0368844072703802,0.0352031083589451,0.0197823726626882
"2018-07-09",0.0138444560261012,0.0667889067814285,0.0924652567340249,0.0179060899520869,0.07663237666351,0.0261714585601865,0.0386586776034571,0.0456780527275307,0.0343037971256637,0.0224483517260204,0.0267814103609346,0.0299439621740924,0.0254319062884896,0.0831231754120161,0.0681239018872648,0.0276370419797291,0.0238071581725456,0.0230542735941017,0.0224497739166755,0.0231609106323446,0.0151464663201153,0.0435600455894918,0.0193124866997175,0.0274726960612157,0.0132500072121904,0.0363420348084844,0.0347511197344239,0.0217542052561569
