"","^OMX","SSAB-A.ST","SECU-B.ST","AZN.ST","KINV-B.ST","SWED-A.ST","SKF-B.ST","ABB.ST","SCA-B.ST","BOL.ST","ELUX-B.ST","INVE-B.ST","TELIA.ST","HM-B.ST","SWMA.ST","ALIV-SDB.ST","TEL2-B.ST","SEB-A.ST","SKA-B.ST","SAND.ST","SHB-A.ST","GETI-B.ST","VOLV-B.ST","ATCO-A.ST","ASSA-B.ST","ATCO-B.ST","HEXA-B.ST","ERIC-B.ST","ALFA.ST","EWD"
"2018-04-10",0.0832315541339807,0.0134667416284003,0.0514825997706267,0.0161617084597225,0.0231056553775608,0.021675950270843,0.0475981532264144,0.0443754813571821,0.0213558911382339,0.0228927274049728,0.0222073134864248,0.0453053844697082,0.011238703241666,0.0126766979545383,0.0112713073136458,0.0108284500684263,0.021375903423088,0.0161296466121632,0.018211895523222,0.067322313923785,0.0154635290979132,0.0140268143359506,0.0403602242786205,0.0979308932091635,0.0479179382687435,0.0880230050834929,0.0258827648066955,0.0186956055122037,0.0577612234063688,0.0120239232162429
"2018-04-11",0.0858409561296376,0.0127602215081065,0.0494896997691365,0.0151331779871771,0.0224948991960948,0.0208487308796376,0.0439488365105562,0.0432580985164946,0.0181471864430256,0.0217387887644853,0.0219941669839407,0.0466050490762033,0.0108915575842883,0.0125268584405796,0.0121139987334211,0.010316359844692,0.0174655237944888,0.0157484821901468,0.0178051405516552,0.0718294043404253,0.0155352722224348,0.0147329894874735,0.0382690718595918,0.101094077854162,0.0496269281416335,0.0918293418244465,0.0258130807339804,0.0184488523336208,0.0617632082640588,0.0119300400344046
"2018-04-12",0.0822376193934799,0.0128128987475559,0.0329965603223802,0.015574911120104,0.0229950419580245,0.0220957285684152,0.0456154560860285,0.0457887752749818,0.0192139271226383,0.0205917920654106,0.020528076289212,0.042933391209531,0.0118810372178839,0.013079370434498,0.0124643380111333,0.0112344682644052,0.0179739147348589,0.0158834458327283,0.0187949543219219,0.0758722135245831,0.015760674721663,0.0151621914811902,0.0397576714391943,0.102106672560206,0.0467703878180213,0.0926392664144972,0.0286348741901707,0.0233273448088552,0.0623374760124571,0.012935520053971
"2018-04-13",0.0827257076571589,0.013893533283437,0.0326244025024957,0.0166839752757317,0.0251601158749292,0.021612645784716,0.0473721390851473,0.045808777459601,0.0186138046938989,0.0204683305223549,0.0196552691168759,0.0435965392503891,0.0128269551448415,0.0138335453851637,0.0116875875683255,0.0116408623084636,0.0177413749110809,0.015937578949622,0.0187499615701039,0.076527500073913,0.0154917251327098,0.0162487774664953,0.0390355087544519,0.101952282812777,0.0454839315449819,0.088562900583161,0.0264294316438491,0.0198345384446809,0.0665039099493177,0.0132963872493255
"2018-04-16",0.0812889678613944,0.0133895335443433,0.034792936410818,0.0182891709468367,0.0256691360272922,0.0201228063724279,0.0451786612402822,0.0524367528868297,0.0199070037387735,0.0207385900631152,0.0208803846016696,0.0480843262715758,0.012026350902062,0.0142774992493507,0.0111563190274379,0.0111253871713623,0.0206582249350192,0.0146709465109797,0.0179513099876558,0.0733317323597734,0.0156477327900904,0.0148887449458093,0.0447562500997075,0.0994766374258041,0.04233552383026,0.0853970103347993,0.0260079473749089,0.0193047190491657,0.0630573011789419,0.0131520928615135
"2018-04-17",0.0817366113905781,0.0135807373213374,0.0321997196643497,0.0160294067224898,0.024623234155303,0.0201661244236057,0.0453194064821613,0.0520419430652091,0.018718304335199,0.0202239327979768,0.0237690005559621,0.0466199145965505,0.0123760954089689,0.0137079555879193,0.0103026489375768,0.0118263740438706,0.0179842733384852,0.0151335181679901,0.018040296278359,0.0750281375380145,0.0151075406473574,0.0160489296747281,0.0464319248547608,0.0925135210492986,0.044842095851007,0.0878084414855536,0.0279537730736202,0.0197658799572462,0.068027415585097,0.0120728430094242
"2018-04-18",0.0781504698046301,0.0142181190020236,0.0283833387931287,0.0162505001311416,0.0254426736027761,0.0223416766578515,0.0465923956517664,0.0537078756368542,0.0192839489288334,0.0201220914930461,0.0220930972038502,0.0444117499384911,0.0121977712523894,0.0134539089431186,0.010057856687067,0.0114340311942945,0.0204190415286088,0.0155808921437849,0.017510044717635,0.0790132433341185,0.0163519471818168,0.0178375125261382,0.0502866126452446,0.0908491818162701,0.0444040737152971,0.0865608785632754,0.0271355943199328,0.0175824828681932,0.0652067254103653,0.0131202643080568
"2018-04-19",0.0789209505188379,0.0151207509405412,0.0284307852918621,0.0162142733935163,0.0256636753544634,0.022691868589071,0.0415384583635511,0.0499760273238037,0.0225103369619992,0.0207430246261295,0.0240422906698208,0.047481283690303,0.0132243737270941,0.0152074542971303,0.012167064058561,0.0127271889840377,0.0228569728442331,0.0169297105192713,0.0209528586741353,0.07323695536719,0.0177667770368532,0.0181921096826932,0.0439182724971036,0.0895409592487577,0.0401673772430177,0.0794400037937548,0.028962930626705,0.0199797286793767,0.0669585611684896,0.0144369758276963
"2018-04-20",0.0750172773344609,0.0187561255801975,0.0284197609214293,0.0163927157525809,0.0279224738873394,0.0213747035744091,0.0456974797359322,0.0490334059810957,0.0214654369207833,0.0211637493540011,0.0252844152192651,0.0497101015218203,0.0167226407929036,0.0172072347534264,0.0124161937042231,0.0125537918214542,0.0222164927904195,0.017031976409887,0.0207803558380864,0.0733960385975418,0.0179822121123072,0.0166442413102054,0.0412936707341384,0.0828189611200633,0.039454215562966,0.0769666893323579,0.0299719810482404,0.0205039011451979,0.06725295479641,0.0145488023468568
"2018-04-23",0.068731855307237,0.0193599130940455,0.024563322096233,0.0162585258596463,0.0274099866486534,0.0277031822284496,0.0459128268942137,0.0507740381613914,0.0211885150839332,0.0216430990879628,0.0229763545145582,0.0482115123685276,0.0192837240997975,0.0196814421239068,0.0130217102138207,0.0131851475635805,0.026405758343606,0.0188570879195035,0.0213634650354152,0.0700370486286102,0.0187218606744656,0.0196656497363309,0.0424271182840056,0.0842355702194307,0.0357518214584669,0.0739388808488892,0.0317801236120803,0.0200502836042198,0.0631583153784972,0.0137018609105215
"2018-04-24",0.0690959579851398,0.0164307067782787,0.0245901740624463,0.0161801985626383,0.0257940816405305,0.0265015961857775,0.0428245633016199,0.0488396346591429,0.0229906547277343,0.0184550389943072,0.0253270182695794,0.0469955178036539,0.0192286385565883,0.0187003240324573,0.0120521430218531,0.0134590305313603,0.0234440690233831,0.0182965310960808,0.0208188474457681,0.0714791122713478,0.0205715966013299,0.0209593529390324,0.0457368739207697,0.0833273351874413,0.0387972426219516,0.0762925019607805,0.031308628993226,0.0205118623173525,0.066784773624935,0.0142059928834937
"2018-04-25",0.0658373999408054,0.0168382821233546,0.0245844220008598,0.0163992849159115,0.0285450159747817,0.0255155932321972,0.040912457116726,0.0489469666818427,0.0228785436895116,0.0182247568610469,0.0236355634897319,0.0477557804385647,0.0195765948330529,0.0206003208217739,0.0115137371642121,0.0134881963764553,0.0238905133627253,0.0198616563129119,0.0202665140878108,0.0699673462837501,0.0219568169118562,0.0215665184061118,0.0571317004195235,0.0818947482459305,0.0291673205209164,0.0713036433106584,0.0356855189162926,0.0195915774619397,0.0684684984914786,0.0139947116072661
"2018-04-26",0.0691012681450557,0.0158141000805212,0.0263984745707412,0.0159328334513192,0.0301557040441974,0.0245704522159937,0.0401235209978441,0.0533968176881016,0.0236815238369427,0.0161486596821001,0.0227056772675237,0.0476710101574969,0.0195978364397881,0.0187766302286341,0.0130538111292484,0.0133711347660863,0.0240157024944624,0.0209954615623519,0.0193082081016276,0.0714955207187396,0.0238279957110303,0.0185986310577827,0.0549570131422636,0.0829155330901395,0.0293942518530003,0.0679934678419289,0.0361045084706466,0.0176578622906639,0.0666289986271788,0.0156073903365894
