"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","datx11.Ticker","saq"
"LYPA.F",0.002,0.001,0.009,0.93,6,-0.006,-0.002,-0.001,0.001,0.001,0.003,0.005,0.006,0.009,"LYPA.F","Lyxor ETF MSCI World Consumer Discretion_Consumer discretionary"
"LYM9.F",0.002,0.001,0.008,0.798,6,-0.009,-0.005,-0.002,0,0.001,0.004,0.006,0.008,0.011,"LYM9.F","Lyxor ETF New Energy_Energy"
"C076.F",0.011,0.001,0.028,0.806,6,-0.013,-0.006,-0.003,0.001,0.001,0.004,0.007,0.01,0.014,"C076.F","ComStage ETF STOXX Europe 600 Techn_Technology"
"DXSH.F",0.013,0.001,0.032,0.823,6,-0.013,-0.006,-0.002,0,0.002,0.005,0.007,0.01,0.014,"DXSH.F","db x-trackers Stoxx® Europe 600 Technology_Technology"
"EXV3.F",0.013,0.001,0.031,0.813,6,-0.013,-0.005,-0.003,0,0.002,0.005,0.007,0.011,0.014,"EXV3.F","iShares STOXX Europe 600 Technology (DE)_Technology"
"EXS2.F",0.002,0.001,0.009,0.969,6,-0.013,-0.004,-0.001,0.001,0.002,0.005,0.007,0.009,0.015,"EXS2.F","iShares TecDAX (DE)_Technology"
"LYPG.F",0.002,0,0.007,1.14,6,-0.009,-0.003,0,0.002,0.002,0.005,0.007,0.008,0.013,"LYPG.F","Lyxor ETF MSCI World Information Technol_Technology"
"LYYW.F",0.013,0.001,0.032,0.843,6,-0.013,-0.006,-0.003,0,0.002,0.004,0.007,0.011,0.014,"LYYW.F","Lyxor ETF STOXX Europe 600 Technology_Technology"
"SPYK.F",0.008,0,0.022,1.015,6,-0.013,-0.004,-0.001,0.001,0.001,0.005,0.006,0.01,0.014,"SPYK.F","SPDR MSCI Europe Information Technology_Technology"
"540C.F",0.011,0.019,0.024,0.199,7,-0.011,-0.007,-0.004,-0.002,-0.001,0.002,0.004,0.007,0.012,"540C.F","AMUNDI ETF MSCI EUROPE TELECOM SE_Telecommunication"
