"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"BTE.TO",0.023,5,-0.03,-0.016,-0.006,-0.001,0.001,0.012,0.018,0.026,0.052,"Baytex Energy Corp.","TOR","Independent Oil & Gas","Canada"
"CFW.TO",0.018,5,-0.029,-0.016,-0.004,0.004,0.008,0.017,0.029,0.039,0.052,"Calfrac Well Services Ltd.","TOR","Independent Oil & Gas","Canada"
"CNQ.TO",0.02,5,-0.03,-0.015,-0.007,-0.001,0.002,0.01,0.015,0.025,0.039,"Canadian Natural Resources Limited","TOR","Independent Oil & Gas","Canada"
"CPG.TO",0.024,5,-0.035,-0.023,-0.016,-0.008,-0.005,0.004,0.013,0.025,0.042,"Crescent Point Energy Corp.","TOR","Independent Oil & Gas","Canada"
"CVE.TO",0.023,5,-0.035,-0.02,-0.009,0,0.002,0.013,0.022,0.03,0.043,"Cenovus Energy Inc.","TOR","Major Integrated Oil & Gas","Canada"
"ECA.TO",0.023,5,-0.025,-0.014,-0.006,0.001,0.003,0.011,0.016,0.026,0.042,"Encana Corporation","TOR","Independent Oil & Gas","Canada"
"ESI.TO",0.012,5,-0.023,-0.012,-0.008,-0.005,-0.004,0.002,0.009,0.016,0.038,"Ensign Energy Services Inc.","TOR","Diversified Electronics","Canada"
"MEG.TO",0.018,5,-0.024,-0.011,-0.007,-0.002,0.002,0.013,0.022,0.036,0.053,"MEG Energy Corp.","TOR","Independent Oil & Gas","Canada"
"PD.TO",0.02,5,-0.031,-0.018,-0.011,-0.006,-0.004,0.006,0.015,0.025,0.042,"Precision Drilling Corporation","TOR","Oil & Gas Equipment & Services","Canada"
"PGF.TO",0.016,5,-0.032,-0.021,-0.015,-0.009,-0.008,0.001,0.011,0.021,0.032,"Pengrowth Energy Corporation","TOR","Independent Oil & Gas","Canada"
"SU.TO",0.024,5,-0.029,-0.014,-0.008,0.002,0.008,0.02,0.028,0.036,0.05,"Suncor Energy Inc.","TOR","Major Integrated Oil & Gas","Canada"
"TCW.TO",0.017,5,-0.03,-0.016,-0.01,-0.005,-0.003,0.005,0.012,0.02,0.037,"Trican Well Service Ltd.","TOR","Oil & Gas Equipment & Services","Canada"
