"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"PFE",0.007,0.031,3,-0.029,-0.009,-0.001,0.006,0.011,0.021,0.027,0.036,0.054,"Pfizer Inc.","NYQ","Drug Manufacturers - Major","USA"
"CSCO",0.007,0.031,3,-0.024,-0.01,-0.002,0.005,0.01,0.017,0.029,0.04,0.055,"Cisco Systems, Inc.","NMS","Networking & Communication Devices","USA"
"PG",0.007,0.032,3,-0.037,-0.017,-0.008,-0.003,0.004,0.013,0.021,0.032,0.056,"The Procter & Gamble Company","NYQ","Personal Products","USA"
"AXP",0.007,0.033,3,-0.03,-0.011,-0.003,0.004,0.009,0.021,0.029,0.039,0.066,"American Express Company","NYQ","Credit Services","USA"
"UNH",0.006,0.028,3,-0.024,-0.01,-0.003,0.003,0.006,0.017,0.026,0.045,0.077,"UnitedHealth Group Incorporated","NYQ","Health Care Plans","USA"
"DWDP",0.007,0.033,3,-0.034,-0.018,-0.006,0.001,0.004,0.012,0.021,0.039,0.071,"-","-","-","-"
"CAT",0.01,0.043,3,-0.025,-0.009,0.001,0.009,0.013,0.019,0.027,0.041,0.077,"Caterpillar Inc.","NYQ","Farm & Construction Machinery","USA"
"INTC",0.006,0.03,3,-0.035,-0.017,-0.006,0.003,0.007,0.021,0.032,0.046,0.067,"Intel Corporation","NMS","Semiconductor - Broad Line","USA"
"XOM",0.007,0.032,3,-0.037,-0.012,-0.003,0.003,0.006,0.016,0.024,0.038,0.071,"Exxon Mobil Corporation","NYQ","Major Integrated Oil & Gas","USA"
"CVX",0.007,0.03,3,-0.033,-0.012,-0.004,0.004,0.009,0.021,0.028,0.038,0.064,"Chevron Corporation","NYQ","Major Integrated Oil & Gas","USA"
"ANTO.L",0.007,0.033,3,-0.04,-0.017,-0.011,-0.004,0.001,0.014,0.028,0.046,0.078,"Antofagasta plc","LSE","Industrial Metals & Minerals","United Kingdom"
"AHT.L",0.008,0.034,3,-0.024,-0.008,-0.002,0.006,0.01,0.02,0.031,0.046,0.081,"Ashtead Group plc","LSE","Rental & Leasing Services","United Kingdom"
"NMC.L",0.005,0.024,3,-0.042,-0.01,-0.004,0.005,0.009,0.018,0.025,0.039,0.078,"NMC Health Plc","LSE","Hospitals","United Kingdom"
"SMT.L",0.007,0.029,3,-0.032,-0.01,-0.002,0.004,0.006,0.015,0.022,0.036,0.065,"Scottish Mortgage Investment Trust PLC","LSE","","United Kingdom"
"WBA",0.006,0.028,3,-0.039,-0.016,-0.007,0,0.003,0.011,0.021,0.034,0.062,"Walgreens Boots Alliance, Inc.","NMS","Drug Stores","USA"
