"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"PFE",0.008,2,-0.032,-0.013,-0.003,0.004,0.008,0.019,0.026,0.034,0.052,"Pfizer Inc.","NYQ","Drug Manufacturers - Major","USA"
"CAT",0.013,2,-0.025,-0.009,0.001,0.01,0.014,0.02,0.028,0.046,0.078,"Caterpillar Inc.","NYQ","Farm & Construction Machinery","USA"
"KO",0.01,2,-0.033,-0.017,-0.01,0,0.004,0.017,0.026,0.039,0.068,"The Coca-Cola Company","NYQ","Beverages - Soft Drinks","USA"
"MRK",0.009,2,-0.046,-0.019,-0.012,-0.005,0,0.014,0.023,0.037,0.057,"Merck & Co., Inc.","NYQ","Drug Manufacturers - Major","USA"
"JNJ",0.01,2,-0.039,-0.022,-0.011,-0.004,-0.001,0.01,0.018,0.033,0.062,"Johnson & Johnson","NYQ","Drug Manufacturers - Major","USA"
"INTC",0.009,2,-0.034,-0.016,-0.004,0.007,0.011,0.024,0.032,0.047,0.07,"Intel Corporation","NMS","Semiconductor - Broad Line","USA"
"WBA",0.008,2,-0.039,-0.016,-0.007,-0.001,0.003,0.01,0.021,0.035,0.058,"Walgreens Boots Alliance, Inc.","NMS","Drug Stores","USA"
"^SSMI",0.01,2,-0.032,-0.012,-0.006,0.001,0.004,0.012,0.022,0.034,0.061,"-","-","-","-"
"BWO.VI",0.006,2,-0.024,-0.01,-0.004,0,0,0.01,0.017,0.025,0.052,"BUWOG AG","VIE","","Austria"
"VIG.VI",0.007,2,-0.031,-0.015,-0.009,-0.004,-0.001,0.006,0.013,0.023,0.038,"Vienna Insurance Group AG","VIE","","Austria"
"TKA.VI",0.007,2,-0.042,-0.019,-0.012,-0.003,0,0.011,0.021,0.032,0.063,"Telekom Austria Aktiengesellschaft","VIE","","Austria"
"POST.VI",0.007,2,-0.037,-0.019,-0.009,0,0.003,0.014,0.022,0.037,0.063,"Österreichische Post AG","VIE","","Austria"
"EBS.VI",0.008,2,-0.03,-0.018,-0.01,-0.005,-0.001,0.007,0.016,0.023,0.047,"Erste Group Bank AG","VIE","","Austria"
"SPI.VI",0.007,2,-0.03,-0.011,-0.005,0.001,0.004,0.016,0.025,0.031,0.052,"S IMMO AG","VIE","","Austria"
"LNZ.VI",0.008,2,-0.039,-0.02,-0.012,-0.006,-0.002,0.009,0.014,0.026,0.048,"Lenzing Aktiengesellschaft","VIE","","Austria"
"VOE.VI",0.01,2,-0.044,-0.018,-0.006,0.002,0.006,0.015,0.023,0.032,0.052,"Voestalpine AG","VIE","","Austria"
"SBO.VI",0.008,2,-0.045,-0.013,-0.001,0.004,0.007,0.019,0.031,0.046,0.08,"Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft","VIE","","Austria"
"UQA.VI",0.007,2,-0.031,-0.013,-0.006,-0.002,0.002,0.012,0.021,0.03,0.056,"UNIQA Insurance Group AG","VIE","","Austria"
"ANDR.VI",0.007,2,-0.039,-0.02,-0.011,-0.005,-0.001,0.007,0.018,0.031,0.055,"Andritz AG","VIE","","Austria"
"OMV.VI",0.009,2,-0.032,-0.014,-0.007,0.002,0.004,0.011,0.02,0.035,0.061,"OMV Aktiengesellschaft","VIE","","Austria"
"VER.VI",0.008,2,-0.027,-0.009,0.001,0.008,0.012,0.023,0.03,0.047,0.084,"VERBUND AG","VIE","","Austria"
"CAI.VI",0.008,2,-0.026,-0.005,0.001,0.005,0.009,0.019,0.028,0.04,0.078,"CA Immobilien Anlagen Aktiengesellschaft","VIE","","Austria"
"ATS.VI",0.009,2,-0.03,-0.013,-0.005,0.001,0.004,0.015,0.026,0.037,0.065,"AT & S Austria Technologie & Systemtechnik Aktiengesellschaft","VIE","","Austria"
"FACC.VI",0.008,2,-0.025,-0.011,-0.005,0.003,0.008,0.02,0.032,0.044,0.087,"FACC AG","VIE","","Austria"
"^ATX",0.012,2,-0.032,-0.01,-0.002,0.003,0.005,0.013,0.02,0.033,0.066,"-","-","-","-"
"ADS.DE",0.007,2,-0.045,-0.024,-0.015,-0.01,-0.005,0.008,0.02,0.029,0.064,"Adidas AG","GER","Textile - Apparel Footwear & Accessories","Germany"
"VZ",0.009,3,-0.035,-0.017,-0.009,0,0.004,0.017,0.023,0.035,0.068,"Verizon Communications Inc.","NYQ","Telecom Services - Domestic","USA"
"PG",0.01,3,-0.037,-0.016,-0.008,-0.002,0.004,0.015,0.021,0.03,0.054,"The Procter & Gamble Company","NYQ","Personal Products","USA"
"IIA.VI",0.008,3,-0.039,-0.023,-0.013,-0.004,0.001,0.014,0.025,0.042,0.073,"Immofinanz AG","VIE","","Austria"
