"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"ICE",0.005,5,-0.017,-0.007,-0.002,0.003,0.006,0.014,0.017,0.024,0.045,"Intercontinental Exchange, Inc.","NYQ","Diversified Investments","USA"
"STI",0.012,5,-0.017,-0.007,-0.002,0.001,0.004,0.012,0.019,0.03,0.046,"SunTrust Banks, Inc.","NYQ","Money Center Banks","USA"
"^NBI",0.008,6,-0.024,-0.01,-0.003,0.003,0.005,0.014,0.019,0.025,0.033,"-","-","-","-"
"PFE",0.005,6,-0.019,-0.007,-0.001,0.005,0.006,0.013,0.018,0.023,0.034,"Pfizer Inc.","NYQ","Drug Manufacturers - Major","USA"
"MRK",0.006,6,-0.029,-0.017,-0.012,-0.002,0.002,0.009,0.014,0.023,0.034,"Merck & Co., Inc.","NYQ","Drug Manufacturers - Major","USA"
"PM",0.004,6,-0.035,-0.02,-0.013,-0.007,-0.003,0.004,0.008,0.014,0.024,"Philip Morris International Inc.","NYQ","Cigarettes","USA"
"AMGN",0.008,6,-0.022,-0.012,-0.005,-0.001,0.003,0.016,0.02,0.027,0.04,"Amgen Inc.","NMS","Biotechnology","USA"
"GILD",0.007,6,-0.024,-0.012,-0.007,-0.003,0,0.006,0.022,0.029,0.041,"Gilead Sciences, Inc.","NMS","Biotechnology","USA"
"BMY",0.004,6,-0.02,-0.009,-0.004,0.002,0.004,0.01,0.014,0.021,0.033,"Bristol-Myers Squibb Company","NYQ","Drug Manufacturers - Major","USA"
"LLY",0.006,6,-0.018,-0.009,-0.003,0.002,0.004,0.013,0.019,0.027,0.036,"Eli Lilly and Company","NYQ","Drug Manufacturers - Major","USA"
"BIIB",0.005,6,-0.021,-0.008,-0.004,0.004,0.007,0.012,0.017,0.026,0.041,"Biogen Inc.","NMS","Biotechnology","USA"
"AGN",0.005,6,-0.033,-0.018,-0.013,-0.007,-0.004,0.003,0.012,0.022,0.038,"Allergan plc","NYQ","Drugs - Generic","USA"
"ALLE",0.005,6,-0.02,-0.011,-0.005,0,0.002,0.009,0.018,0.03,0.052,"Allegion plc","NYQ","Security & Protection Services","USA"
"CELG",0.004,6,-0.024,-0.014,-0.009,-0.006,-0.004,0.004,0.014,0.022,0.041,"Celgene Corporation","NMS","Biotechnology","USA"
"BMO",0.008,7,-0.019,-0.008,-0.002,0.003,0.006,0.019,0.026,0.034,0.046,"Bank of Montreal","NYQ","Money Center Banks","USA"
"BNS",0.005,7,-0.022,-0.009,-0.001,0.004,0.007,0.012,0.017,0.022,0.031,"The Bank of Nova Scotia","NYQ","Money Center Banks","USA"
"CM",0.006,7,-0.018,-0.009,-0.003,0.001,0.004,0.011,0.017,0.027,0.043,"Canadian Imperial Bank of Commerce","NYQ","Money Center Banks","USA"
"RY",0.009,7,-0.019,-0.009,-0.004,0.001,0.003,0.015,0.023,0.029,0.042,"Royal Bank of Canada","NYQ","Money Center Banks","USA"
"TD",0.005,7,-0.019,-0.009,-0.001,0.006,0.008,0.017,0.024,0.031,0.052,"The Toronto-Dominion Bank","NYQ","Money Center Banks","USA"
"ABBV",0.004,7,-0.016,-0.004,0.002,0.005,0.008,0.014,0.02,0.029,0.051,"AbbVie Inc.","NYQ","Drug Manufacturers - Major","USA"
"WYNN",0.003,7,-0.017,-0.005,-0.002,0.002,0.004,0.012,0.016,0.022,0.035,"Wynn Resorts, Limited","NMS","Resorts & Casinos","USA"
"LMT",0.005,8,-0.018,-0.005,0,0.004,0.006,0.013,0.019,0.029,0.041,"Lockheed Martin Corporation","NYQ","Aerospace/Defense Products & Services","USA"
"RTN",0.005,8,-0.011,-0.001,0.003,0.007,0.008,0.015,0.022,0.027,0.035,"Raytheon Company","NYQ","Aerospace/Defense Products & Services","USA"
"NOC",0.005,8,-0.011,-0.002,0.001,0.004,0.006,0.011,0.017,0.025,0.041,"Northrop Grumman Corporation","NYQ","Aerospace/Defense - Major Diversified","USA"
"GD",0.005,8,-0.022,-0.009,-0.005,0,0.002,0.007,0.013,0.02,0.031,"General Dynamics Corporation","NYQ","Aerospace/Defense Products & Services","USA"
"AMT",0.004,9,-0.019,-0.01,-0.006,-0.002,0.001,0.007,0.013,0.02,0.04,"American Tower Corporation","NYQ","REIT - Diversified","USA"
"CCI",0.005,9,-0.019,-0.01,-0.007,-0.002,-0.001,0.005,0.011,0.018,0.031,"Crown Castle International Corp.","NYQ","Diversified Communication Services","USA"
"NEE",0.005,10,-0.016,-0.009,-0.004,0.001,0.004,0.011,0.017,0.023,0.033,"NextEra Energy, Inc.","NYQ","Electric Utilities","USA"
"SO",0.005,10,-0.038,-0.014,-0.008,-0.005,-0.003,0.004,0.009,0.017,0.04,"The Southern Company","NYQ","Electric Utilities","USA"
"CMS",0.006,10,-0.033,-0.015,-0.009,-0.003,0,0.01,0.017,0.023,0.037,"CMS Energy Corporation","NYQ","Electric Utilities","USA"
