"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"XUU.TO",0.039,0.095,4,-0.009,-0.003,-0.001,0.001,0.001,0.004,0.006,0.008,0.012,"XUU.TO","iShares Core S&P U.S. Total Market Index ETF"
"XEF.TO",0.024,0.068,4,-0.007,-0.003,-0.001,0,0.001,0.003,0.005,0.006,0.01,"XEF.TO","iShares Core MSCI EAFE IMI Index ETF"
"^GSPC",0.009,0.021,5,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"^NDX",0.007,0.019,5,-0.011,-0.003,-0.001,0,0.001,0.004,0.006,0.01,0.017,"-","-"
"ITOT",0.009,0.02,5,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.012,"ITOT","iShares Trust - iShares Core S&P Total U.S. Stock Market ETF"
"XMA.TO",0.006,0.018,6,-0.012,-0.006,-0.004,-0.001,0.001,0.004,0.006,0.008,0.014,"XMA.TO","iShares S&P/TSX Capped Materials Index ETF"
"XGD.TO",0.005,0.017,6,-0.017,-0.007,-0.004,-0.002,0,0.003,0.006,0.01,0.018,"XGD.TO","iShares S&P/TSX Global Gold Index ETF"
"CGL.TO",0.004,0.015,6,-0.009,-0.005,-0.003,-0.001,0,0.003,0.004,0.006,0.012,"CGL.TO","iShares Gold Bullion ETF"
"SVR.TO",0.004,0.014,6,-0.014,-0.007,-0.004,-0.001,0,0.002,0.006,0.009,0.017,"SVR.TO","iShares Silver Bullion ETF"
"XMM.TO",0.01,0.031,7,-0.009,-0.004,-0.001,0,0,0.003,0.005,0.007,0.011,"XMM.TO","iShares Edge MSCI Min Vol Emerging Markets Index ETF"
"XID.TO",0.004,0.015,7,-0.01,-0.005,-0.003,-0.001,0,0.003,0.006,0.009,0.017,"XID.TO","iShares India Index ETF"
"XEM.TO",0.015,0.038,7,-0.013,-0.006,-0.003,0,0.001,0.004,0.007,0.01,0.014,"XEM.TO","iShares MSCI Emerging Markets Index ETF"
"XCH.TO",0.008,0.025,7,-0.017,-0.008,-0.004,-0.001,0,0.005,0.009,0.014,0.021,"XCH.TO","iShares China Index ETF"
"XEC.TO",0.016,0.038,7,-0.013,-0.005,-0.003,-0.001,0,0.003,0.006,0.01,0.014,"XEC.TO","iShares Core MSCI Emerging Markets IMI Index ETF"
