"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"SC00.DE",0.003,0.012,1,-0.008,-0.001,0,0,0,0,0,0.006,0.014,"SC00.DE","Source Markets plc - Source STOXX Europe 600 Optimised Chemicals UCITS ETF"
"S600.L",0.002,0.009,1,-0.007,0,0,0,0,0,0,0.004,0.01,"S600.L","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"SC0W.DE",0.005,0.018,1,-0.014,-0.009,-0.004,0,0,0.001,0.007,0.012,0.021,"SC0W.DE","Source Markets plc - Source STOXX Europe 600 Optimised Basic Resources UCITS ETF"
"SXPIEX.SW",0.004,0.016,1,-0.009,-0.003,-0.001,0,0,0.002,0.004,0.007,0.01,"SXPIEX.SW","iShares STOXX Europe 600 UCITS ETF (DE)"
"SC06.DE",0.001,0.004,1,0,0,0,0,0,0,0,0,0.01,"SC06.DE","Source Markets plc - Source STOXX Europe 600 Optimised Media UCITS ETF"
"X7PS.SW",0.002,0.007,1,-0.003,0,0,0,0,0,0,0,0.007,"X7PS.SW","Source Markets plc - Source STOXX Europe 600 Optimised Banks UCITS ETF"
"SXIPEX.SW",0.002,0.008,1,-0.002,0,0,0,0,0,0,0,0.004,"SXIPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Insurance UCITS ETF (DE)"
"C060.DE",0.021,0.058,1,-0.008,-0.003,-0.002,0,0,0.002,0.004,0.006,0.008,"C060.DE","ComStage - STOXX Europe 600 NR UCITS ETF"
"C079.DE",0.002,0.009,1,-0.009,-0.001,0,0,0,0,0,0.005,0.013,"C079.DE","ComStage - STOXX Europe 600 Utilities NR UCITS ETF"
"C072.DE",0.006,0.023,1,-0.014,-0.006,-0.003,0,0,0.002,0.007,0.01,0.015,"C072.DE","ComStage - STOXX Europe 600 Oil & Gas NR UCITS ETF"
"SC0C.DE",0.018,0.05,1,-0.009,-0.003,-0.002,0,0.001,0.003,0.005,0.006,0.009,"SC0C.DE","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"SXEPEX.SW",0.003,0.011,1,-0.007,0,0,0,0,0,0.001,0.007,0.015,"SXEPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE)"
"CHM.MI",0.002,0.01,1,-0.01,0,0,0,0,0,0.003,0.007,0.013,"CHM.MI","LYXOR UCITS ETF STOXX EURO 600"
"SXPPEX.SW",0.002,0.008,1,-0.014,0,0,0,0,0,0,0,0.029,"SXPPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"SC0T.DE",0.005,0.018,1,-0.007,-0.002,0,0,0,0.002,0.005,0.007,0.011,"SC0T.DE","Source Markets plc - Source STOXX Europe 600 Optimised Health Care UCITS ETF"
