"","Item","StationaryDistribution"
"Pharmaceutical.and.medicine.manufacturing.","Pharmaceutical and medicine manufacturing (x 1,000,000)",0.000619144847270396
"Pulp..paper.and.paperboard.mills.","Pulp, paper and paperboard mills (x 1,000,000)",0.000615722432745349
"Steel.product.manufacturing.from.purchased.steel.","Steel product manufacturing from purchased steel (x 1,000,000)",0.000597038115809476
"Chemical.manufacturing.","Chemical manufacturing (x 1,000,000)",0.000577778201875633
"Paper.manufacturing.","Paper manufacturing (x 1,000,000)",0.000526266285470773
"Soap..cleaning.compound.and.toilet.preparation.manufacturing.","Soap, cleaning compound and toilet preparation manufacturing (x 1,000,000)",0.000519920143963253
"Foundries.","Foundries (x 1,000,000)",0.000519711152770986
"Conventional.oil.and.gas.extraction.","Conventional oil and gas extraction (x 1,000,000)",0.000516395553936854
"Rubber.product.manufacturing.","Rubber product manufacturing (x 1,000,000)",0.000515706002081407
"Support.activities.for.mining.and.oil.and.gas.extraction.","Support activities for mining and oil and gas extraction (x 1,000,000)",0.000514238821430629
"Sporting.goods..hobby..book.and.music.stores.","Sporting goods, hobby, book and music stores (x 1,000,000)",0.000501366503015526
"Railroad.rolling.stock.manufacturing.","Railroad rolling stock manufacturing (x 1,000,000)",0.000489284736484874
"Non.metallic.mineral.mining.and.quarrying.","Non-metallic mineral mining and quarrying (x 1,000,000)",0.000483032330382632
"Architectural.and.structural.metals.manufacturing.","Architectural and structural metals manufacturing (x 1,000,000)",0.000474990435509863
"Management.of.companies.and.enterprises.","Management of companies and enterprises (x 1,000,000)",0.000456479099634227
"Agencies..brokerages.and.other.insurance.related.activities.","Agencies, brokerages and other insurance related activities (x 1,000,000)",0.000456068488207223
"Other.non.metallic.mineral.mining.and.quarrying.","Other non-metallic mineral mining and quarrying (x 1,000,000)",0.000449335869030997
"Ventilation..heating..air.conditioning.and.commercial.refrigeration.equipment.manufacturing.","Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing (x 1,000,000)",0.000448621571075203
"Petroleum.and.coal.products.manufacturing..except.petroleum.refineries..","Petroleum and coal products manufacturing (except petroleum refineries) (x 1,000,000)",0.000441951506821918
"Furniture.and.home.furnishings.stores.","Furniture and home furnishings stores (x 1,000,000)",0.000441669849485227
"Cutlery..hand.tools.and.other.fabricated.metal.product.manufacturing.","Cutlery, hand tools and other fabricated metal product manufacturing (x 1,000,000)",0.000440717043953539
"Animal.production.","Animal production (x 1,000,000)",0.000436201484532772
"Travel.arrangement.and.reservation.services.","Travel arrangement and reservation services (x 1,000,000)",0.000435008781592576
"Other.electrical.equipment.and.component.manufacturing.","Other electrical equipment and component manufacturing (x 1,000,000)",0.000426792347541149
"Dairy.product.manufacturing.","Dairy product manufacturing (x 1,000,000)",0.000416985363877281
"Computer.and.peripheral.equipment.manufacturing.","Computer and peripheral equipment manufacturing (x 1,000,000)",0.000416335151176668
"Forestry.and.logging.","Forestry and logging (x 1,000,000)",0.000402731088743515
"Ship.and.boat.building.","Ship and boat building (x 1,000,000)",0.000397848302082097
"Textile.and.textile.product.mills.","Textile and textile product mills (x 1,000,000)",0.000392021554885442
"Other.furniture.related.product.manufacturing.","Other furniture-related product manufacturing (x 1,000,000)",0.000387892019867538
"Furniture.and.related.product.manufacturing.","Furniture and related product manufacturing (x 1,000,000)",0.000385526363941453
"Copper..nickel..lead.and.zinc.ore.mining.","Copper, nickel, lead and zinc ore mining (x 1,000,000)",0.000384978082404288
"Metalworking.machinery.manufacturing.","Metalworking machinery manufacturing (x 1,000,000)",0.000380666324925538
"Legal.services.","Legal services (x 1,000,000)",0.000377716001964517
"Household.and.institutional.furniture.and.kitchen.cabinet.manufacturing.","Household and institutional furniture and kitchen cabinet manufacturing (x 1,000,000)",0.000372784613984098
"Electric.power.generation..transmission.and.distribution.","Electric power generation, transmission and distribution (x 1,000,000)",0.000368307932987282
"Basic.chemical.manufacturing.","Basic chemical manufacturing (x 1,000,000)",0.000366848891524582
"Meat.product.manufacturing.","Meat product manufacturing (x 1,000,000)",0.000360233492894655
"Other.wood.product.manufacturing.","Other wood product manufacturing (x 1,000,000)",0.000355103487648688
"Couriers.and.messengers.","Couriers and messengers (x 1,000,000)",0.000352694088863681
"Iron.and.steel.mills.and.ferro.alloy.manufacturing.","Iron and steel mills and ferro-alloy manufacturing (x 1,000,000)",0.000340863573108758
"Potash.mining.","Potash mining (x 1,000,000)",0.000338558755932063
"Electrical.equipment..appliance.and.component.manufacturing.","Electrical equipment, appliance and component manufacturing (x 1,000,000)",0.000326595785044698
"Pesticide..fertilizer.and.other.agricultural.chemical.manufacturing.","Pesticide, fertilizer and other agricultural chemical manufacturing (x 1,000,000)",0.000323100375820903
"Non.residential.building.construction.","Non-residential building construction (x 1,000,000)",0.000320686848199385
"Office.furniture..including.fixtures..manufacturing.","Office furniture (including fixtures) manufacturing (x 1,000,000)",0.000316751411506906
"Forging.and.stamping.","Forging and stamping (x 1,000,000)",0.00031606794229095
"Motor.vehicle.manufacturing.","Motor vehicle manufacturing (x 1,000,000)",0.00031073290986442
"Utilities.","Utilities (x 1,000,000)",0.000309539026860718
"Fruit.and.vegetable.preserving.and.specialty.food.manufacturing.","Fruit and vegetable preserving and specialty food manufacturing (x 1,000,000)",0.000295817270236597
"General.merchandise.stores.","General merchandise stores (x 1,000,000)",0.000286684836484398
"Lessors.of.non.financial.intangible.assets..except.copyrighted.works..","Lessors of non-financial intangible assets (except copyrighted works) (x 1,000,000)",0.000284171703731122
"Electrical.equipment.manufacturing.","Electrical equipment manufacturing (x 1,000,000)",0.000268657535021522
"Non.metallic.mineral.product.manufacturing.","Non-metallic mineral product manufacturing (x 1,000,000)",0.000265872881903839
"Commercial.and.service.industry.machinery.manufacturing.","Commercial and service industry machinery manufacturing (x 1,000,000)",0.000264424875908243
"Private.households.","Private households (x 1,000,000)",0.000262584432111796
"Accommodation.services.","Accommodation services (x 1,000,000)",0.000251363751408269
"Miscellaneous.transportation.equipment.manufacturing.","Miscellaneous transportation equipment manufacturing (x 1,000,000)",0.000251042801828492
"Offices.of.real.estate.agents.and.brokers.and.activities.related.to.real.estate.","Offices of real estate agents and brokers and activities related to real estate (x 1,000,000)",0.000245196026593889
"Gambling.industries.","Gambling industries (x 1,000,000)",0.000232154233013462
"Medical.equipment.and.supplies.manufacturing.","Medical equipment and supplies manufacturing (x 1,000,000)",0.000231873310885975
"Converted.paper.product.manufacturing.","Converted paper product manufacturing (x 1,000,000)",0.000223306620077468
"Food.and.beverage.stores.","Food and beverage stores (x 1,000,000)",0.000221487086971194
"Semiconductor.and.other.electronic.component.manufacturing.","Semiconductor and other electronic component manufacturing (x 1,000,000)",0.000214864842775822
"Other.miscellaneous.manufacturing.","Other miscellaneous manufacturing (x 1,000,000)",0.000214783528867523
"Petroleum.and.coal.product.manufacturing.","Petroleum and coal product manufacturing (x 1,000,000)",0.000214750663804008
"Paint..coating.and.adhesive.manufacturing.","Paint, coating and adhesive manufacturing (x 1,000,000)",0.000201795349208478
